Time,DateTimeValue,Temp,TempSP,Comp1,Comp2,RevValve,Fan,Occupancy,Scheduled
14/06/2016 7:56:00 AM,-,-,-,-,-,-,-,-,-
14/06/2016 7:41:00 AM,-,-,-,-,-,-,-,-,-
14/06/2016 7:26:00 AM,-,-,-,-,-,-,-,-,-
14/06/2016 7:11:00 AM,42535.29931,20.3,23,Off,Off,Off,Off,0,FALSE
14/06/2016 6:56:00 AM,42535.28889,20.3,23,Off,Off,Off,Off,0,FALSE
14/06/2016 6:41:00 AM,42535.27847,20.3,23,Off,Off,Off,Off,0,FALSE
14/06/2016 6:26:00 AM,42535.26806,20.3,23,Off,Off,Off,Off,0,FALSE
14/06/2016 6:11:00 AM,42535.25764,20.3,23,Off,Off,Off,Off,0,FALSE
14/06/2016 5:56:00 AM,42535.24722,20.3,23,Off,Off,Off,Off,0,FALSE
14/06/2016 5:41:00 AM,42535.23681,20.3,23,Off,Off,Off,Off,0,FALSE
14/06/2016 5:26:00 AM,42535.22639,20.4,23,Off,Off,Off,Off,0,FALSE
14/06/2016 5:11:00 AM,42535.21597,20.4,23,Off,Off,Off,Off,0,FALSE
14/06/2016 4:56:00 AM,42535.20556,20.4,23,Off,Off,Off,Off,0,FALSE
14/06/2016 4:41:00 AM,42535.19514,20.4,23,Off,Off,Off,Off,0,FALSE
14/06/2016 4:26:00 AM,42535.18472,20.5,23,Off,Off,Off,Off,0,FALSE
14/06/2016 4:11:00 AM,42535.17431,20.5,23,Off,Off,Off,Off,0,FALSE
14/06/2016 3:56:00 AM,42535.16389,20.5,23,Off,Off,Off,Off,0,FALSE
14/06/2016 3:41:00 AM,42535.15347,20.6,23,Off,Off,Off,Off,0,FALSE
14/06/2016 3:26:00 AM,42535.14306,20.6,23,Off,Off,Off,Off,0,FALSE
14/06/2016 3:11:00 AM,42535.13264,20.6,23,Off,Off,Off,Off,0,FALSE
14/06/2016 2:56:00 AM,42535.12222,20.7,23,Off,Off,Off,Off,0,FALSE
14/06/2016 2:41:00 AM,42535.11181,20.7,23,Off,Off,Off,Off,0,FALSE
14/06/2016 2:26:00 AM,42535.10139,20.7,23,Off,Off,Off,Off,0,FALSE
14/06/2016 2:11:00 AM,42535.09097,20.8,23,Off,Off,Off,Off,0,FALSE
14/06/2016 1:56:00 AM,42535.08056,20.8,23,Off,Off,Off,Off,0,FALSE
14/06/2016 1:41:00 AM,42535.07014,20.9,23,Off,Off,Off,Off,0,FALSE
14/06/2016 1:26:00 AM,42535.05972,20.9,23,Off,Off,Off,Off,0,FALSE
14/06/2016 1:11:00 AM,42535.04931,21,23,Off,Off,Off,Off,0,FALSE
14/06/2016 12:56:00 AM,42535.03889,21,23,Off,Off,Off,Off,0,FALSE
14/06/2016 12:41:00 AM,42535.02847,21.1,23,Off,Off,Off,Off,0,FALSE
