Time,DateTimeValue,Temp,AHUHighSpd,AHULowSpd,ElecHeat,Occupancy,Scheduled
14/06/2016 7:57:00 AM,42535.331250,-,-,-,-,-,-
14/06/2016 7:42:00 AM,42535.320833,17.2,-,-,-,-,-
14/06/2016 7:27:00 AM,42535.310417,17.2,-,-,-,-,-
14/06/2016 7:12:00 AM,42535.300000,17.3,Off,Off,0,0,FALSE
14/06/2016 6:57:00 AM,42535.289583,17.3,Off,Off,0,0,FALSE
14/06/2016 6:42:00 AM,42535.279167,17.3,Off,Off,0,0,FALSE
14/06/2016 6:27:00 AM,42535.268750,17.3,Off,Off,0,0,FALSE
14/06/2016 6:12:00 AM,42535.258333,17.3,Off,Off,0,0,FALSE
14/06/2016 5:57:00 AM,42535.247917,17.3,Off,Off,0,0,FALSE
14/06/2016 5:42:00 AM,42535.237500,17.3,Off,Off,0,0,FALSE
14/06/2016 5:27:00 AM,42535.227083,17.3,Off,Off,0,0,FALSE
14/06/2016 5:12:00 AM,42535.216667,17.3,Off,Off,0,0,FALSE
14/06/2016 4:57:00 AM,42535.206250,17.3,Off,Off,0,0,FALSE
14/06/2016 4:42:00 AM,42535.195833,17.3,Off,Off,0,0,FALSE
14/06/2016 4:27:00 AM,42535.185417,17.3,Off,Off,0,0,FALSE
14/06/2016 4:12:00 AM,42535.175000,17.4,Off,Off,0,0,FALSE
14/06/2016 3:57:00 AM,42535.164583,17.4,Off,Off,0,0,FALSE
14/06/2016 3:42:00 AM,42535.154167,17.4,Off,Off,0,0,FALSE
14/06/2016 3:27:00 AM,42535.143750,17.4,Off,Off,0,0,FALSE
14/06/2016 3:12:00 AM,42535.133333,17.5,Off,Off,0,0,FALSE
14/06/2016 2:57:00 AM,42535.122917,17.5,Off,Off,0,0,FALSE
14/06/2016 2:42:00 AM,42535.112500,17.5,Off,Off,0,0,FALSE
14/06/2016 2:27:00 AM,42535.102083,17.5,Off,Off,0,0,FALSE
14/06/2016 2:12:00 AM,42535.091667,17.5,Off,Off,0,0,FALSE
14/06/2016 1:57:00 AM,42535.081250,17.5,Off,Off,0,0,FALSE
14/06/2016 1:42:00 AM,42535.070833,17.6,Off,Off,0,0,FALSE
14/06/2016 1:27:00 AM,42535.060417,17.6,Off,Off,0,0,FALSE
14/06/2016 1:12:00 AM,42535.050000,17.6,Off,Off,0,0,FALSE
14/06/2016 12:57:00 AM,42535.039583,17.7,Off,Off,0,0,FALSE
14/06/2016 12:42:00 AM,42535.029167,17.7,Off,Off,0,0,FALSE
14/06/2016 12:27:00 AM,42535.018750,17.7,Off,Off,0,0,FALSE
14/06/2016 12:12:00 AM,42535.008333,17.7,Off,Off,0,0,FALSE
13/06/2016 11:57:00 PM,42534.997917,17.8,Off,Off,0,0,FALSE
13/06/2016 11:42:00 PM,42534.987500,17.8,Off,Off,0,0,FALSE
13/06/2016 11:27:00 PM,42534.977083,17.8,Off,Off,0,0,FALSE
13/06/2016 11:12:00 PM,42534.966667,17.8,Off,Off,0,0,FALSE
13/06/2016 10:57:00 PM,42534.956250,17.9,Off,Off,0,0,FALSE
13/06/2016 10:42:00 PM,42534.945833,18,Off,Off,0,0,FALSE
13/06/2016 10:27:00 PM,42534.935417,18.1,Off,Off,0,0,FALSE
13/06/2016 10:12:00 PM,42534.925000,18.1,Off,Off,0,0,FALSE
13/06/2016 9:57:00 PM,42534.914583,18.2,Off,Off,0,0,FALSE
13/06/2016 9:42:00 PM,42534.904167,18.2,Off,Off,0,0,FALSE
13/06/2016 9:27:00 PM,42534.893750,18.3,Off,Off,0,0,FALSE
13/06/2016 9:12:00 PM,42534.883333,18.3,Off,Off,0,0,FALSE
13/06/2016 8:57:00 PM,42534.872917,18.4,Off,Off,0,0,FALSE
13/06/2016 8:42:00 PM,42534.862500,18.4,Off,Off,0,0,FALSE
13/06/2016 8:27:00 PM,42534.852083,18.5,Off,Off,0,50,TRUE
13/06/2016 8:12:00 PM,42534.841667,18.6,Off,Off,0,50,TRUE
13/06/2016 7:57:00 PM,42534.831250,18.6,Off,Off,0,50,TRUE
13/06/2016 7:42:00 PM,42534.820833,18.7,Off,Off,0,50,TRUE
13/06/2016 7:27:00 PM,42534.810417,18.7,Off,Off,0,50,TRUE
13/06/2016 7:12:00 PM,42534.800000,18.8,Off,Off,0,50,TRUE
13/06/2016 6:57:00 PM,42534.789583,18.9,Off,Off,0,50,TRUE
13/06/2016 6:42:00 PM,42534.779167,18.9,Off,Off,0,50,TRUE
13/06/2016 6:27:00 PM,42534.768750,19,Off,Off,0,50,TRUE
13/06/2016 6:12:00 PM,42534.758333,19.1,Off,Off,0,50,TRUE
13/06/2016 5:57:00 PM,42534.747917,19.2,Off,Off,0,50,TRUE
13/06/2016 5:42:00 PM,42534.737500,19.3,Off,Off,0,50,TRUE
13/06/2016 5:27:00 PM,42534.727083,19.5,Off,Off,0,0,FALSE
13/06/2016 5:12:00 PM,42534.716667,19.7,Off,Off,0,0,FALSE
13/06/2016 4:57:00 PM,42534.706250,19.8,Off,Off,0,0,FALSE
13/06/2016 4:42:00 PM,42534.695833,19.9,Off,Off,0,0,FALSE
13/06/2016 4:27:00 PM,42534.685417,20,Off,Off,0,0,FALSE
13/06/2016 4:12:00 PM,42534.675000,20,Off,Off,0,0,FALSE
13/06/2016 3:57:00 PM,42534.664583,20.1,Off,Off,0,40,TRUE
13/06/2016 3:42:00 PM,42534.654167,20.1,Off,Off,0,40,TRUE
13/06/2016 3:27:00 PM,42534.643750,20.2,Off,Off,0,40,TRUE
13/06/2016 3:12:00 PM,42534.633333,20.2,Off,Off,0,40,TRUE
13/06/2016 2:57:00 PM,42534.622917,20.3,Off,Off,0,40,TRUE
13/06/2016 2:42:00 PM,42534.612500,20.4,Off,Off,0,40,TRUE
13/06/2016 2:27:00 PM,42534.602083,20.5,Off,Off,0,40,TRUE
13/06/2016 2:12:00 PM,42534.591667,20.5,Off,Off,0,40,TRUE
13/06/2016 1:57:00 PM,42534.581250,20.4,Off,Off,0,40,TRUE
13/06/2016 1:42:00 PM,42534.570833,20.3,Off,Off,0,40,TRUE
13/06/2016 1:27:00 PM,42534.560417,20.2,Off,Off,0,40,TRUE
13/06/2016 1:12:00 PM,42534.550000,20.1,Off,Off,0,40,TRUE
13/06/2016 12:57:00 PM,42534.539583,20.1,Off,Off,0,0,FALSE
13/06/2016 12:42:00 PM,42534.529167,20.1,On ,On ,0,0,FALSE
13/06/2016 12:27:00 PM,42534.518750,20.3,On ,On ,0,0,FALSE
13/06/2016 12:12:00 PM,42534.508333,21.2,On ,On ,17,0,FALSE
13/06/2016 11:57:00 AM,42534.497917,21.6,On ,On ,80,40,TRUE
13/06/2016 11:42:00 AM,42534.487500,21.8,On ,On ,68,40,TRUE
13/06/2016 11:27:00 AM,42534.477083,22.4,On ,On ,80,40,TRUE
13/06/2016 11:12:00 AM,42534.466667,21.9,On ,On ,100,40,TRUE
13/06/2016 10:57:00 AM,42534.456250,21.9,On ,On ,99,40,TRUE
13/06/2016 10:42:00 AM,42534.445833,21.7,On ,On ,97,40,TRUE
13/06/2016 10:27:00 AM,42534.435417,21.6,On ,On ,87,40,TRUE
13/06/2016 10:12:00 AM,42534.425000,21.3,On ,On ,54,40,TRUE
13/06/2016 9:57:00 AM,42534.414583,21.9,On ,On ,81,40,TRUE
13/06/2016 9:42:00 AM,42534.404167,21.3,On ,On ,100,40,TRUE
13/06/2016 9:27:00 AM,42534.393750,20,On ,On ,100,40,TRUE
13/06/2016 9:12:00 AM,42534.383333,18.2,On ,On ,84,40,TRUE
13/06/2016 8:57:00 AM,42534.372917,17.4,On ,On ,17,0,FALSE
13/06/2016 8:42:00 AM,42534.362500,17.5,Off,Off,0,0,FALSE
13/06/2016 8:27:00 AM,42534.352083,17.6,Off,Off,0,0,FALSE
13/06/2016 8:12:00 AM,42534.341667,17.6,Off,Off,0,0,FALSE
13/06/2016 7:57:00 AM,42534.331250,17.6,Off,Off,0,0,FALSE
13/06/2016 7:42:00 AM,42534.320833,17.6,Off,Off,0,0,FALSE
13/06/2016 7:27:00 AM,42534.310417,17.6,Off,Off,0,0,FALSE
13/06/2016 7:12:00 AM,42534.300000,17.6,Off,Off,0,0,FALSE
13/06/2016 6:57:00 AM,42534.289583,17.6,Off,Off,0,0,FALSE
13/06/2016 6:42:00 AM,42534.279167,17.6,Off,Off,0,0,FALSE
13/06/2016 6:27:00 AM,42534.268750,17.6,Off,Off,0,0,FALSE
13/06/2016 6:12:00 AM,42534.258333,17.6,Off,Off,0,0,FALSE
13/06/2016 5:57:00 AM,42534.247917,17.6,Off,Off,0,0,FALSE
13/06/2016 5:42:00 AM,42534.237500,17.6,Off,Off,0,0,FALSE
13/06/2016 5:27:00 AM,42534.227083,17.6,Off,Off,0,0,FALSE
13/06/2016 5:12:00 AM,42534.216667,17.6,Off,Off,0,0,FALSE
13/06/2016 4:57:00 AM,42534.206250,17.6,Off,Off,0,0,FALSE
13/06/2016 4:42:00 AM,42534.195833,17.6,Off,Off,0,0,FALSE
13/06/2016 4:27:00 AM,42534.185417,17.6,Off,Off,0,0,FALSE
13/06/2016 4:12:00 AM,42534.175000,17.6,Off,Off,0,0,FALSE
13/06/2016 3:57:00 AM,42534.164583,17.6,Off,Off,0,0,FALSE
13/06/2016 3:42:00 AM,42534.154167,17.7,Off,Off,0,0,FALSE
13/06/2016 3:27:00 AM,42534.143750,17.7,Off,Off,0,0,FALSE
13/06/2016 3:12:00 AM,42534.133333,17.7,Off,Off,0,0,FALSE
13/06/2016 2:57:00 AM,42534.122917,17.7,Off,Off,0,0,FALSE
13/06/2016 2:42:00 AM,42534.112500,17.8,Off,Off,0,0,FALSE
13/06/2016 2:27:00 AM,42534.102083,17.8,Off,Off,0,0,FALSE
13/06/2016 2:12:00 AM,42534.091667,17.9,Off,Off,0,0,FALSE
13/06/2016 1:57:00 AM,42534.081250,17.9,Off,Off,0,0,FALSE
13/06/2016 1:42:00 AM,42534.070833,17.9,Off,Off,0,0,FALSE
13/06/2016 1:27:00 AM,42534.060417,18,Off,Off,0,0,FALSE
